"id4","sex","AGECAT"
4776,"Boy",13
3150,"Girl",13
7327,"Boy",15
108,"Boy",11
6421,"Boy",15
6313,"Girl",15
4432,"Boy",13
3483,"Girl",13
6739,"Girl",15
5901,"Girl",15
334,"Girl",11
3193,"Girl",13
6965,"Boy",15
1182,"Boy",11
3688,"Girl",13
4405,"Girl",13
4668,"Girl",13
1212,"Boy",11
2428,"Girl",11
3987,"Girl",13
836,"Girl",11
1423,"Boy",11
4732,"Girl",13
7352,"Boy",15
912,"Boy",11
7089,"Girl",15
4755,"Boy",13
6501,"Girl",15
2739,"Girl",13
3700,"Boy",13
5990,"Boy",15
1322,"Boy",11
3964,"Boy",13
6334,"Boy",15
2115,"Boy",11
2820,"Girl",13
1092,"Girl",11
7607,"Boy",15
2723,"Boy",13
7682,"Girl",15
3467,"Girl",13
727,"Girl",11
6216,"Girl",15
2194,"Boy",11
49,"Girl",11
7614,"Boy",15
6402,"Girl",15
5897,"Boy",15
1599,"Girl",11
7187,"Boy",15
7807,"Boy",15
5583,"Girl",15
5620,"Boy",15
3228,"Boy",13
6432,"Girl",15
1900,"Girl",11
4619,"Girl",13
2760,"Boy",13
359,"Boy",11
2592,"Girl",11
4213,"Girl",13
1843,"Boy",11
4817,"Girl",13
6728,"Girl",15
7052,"Boy",15
1129,"Girl",11
7526,"Girl",15
5783,"Girl",15
5348,"Boy",15
2331,"Boy",11
7686,"Girl",15
7379,"Girl",15
2704,"Girl",13
3047,"Boy",13
3983,"Girl",13
4026,"Boy",13
3984,"Boy",13
4576,"Girl",13
2841,"Girl",13
580,"Girl",11
100,"Boy",11
1305,"Boy",11
5634,"Girl",15
3157,"Boy",11
5608,"Boy",15
3690,"Girl",13
6787,"Boy",15
4498,"Girl",13
5674,"Girl",15
1665,"Boy",11
2489,"Girl",11
4236,"Boy",13
2621,"Boy",11
487,"Girl",11
1751,"Boy",11
418,"Boy",11
5696,"Girl",15
2665,"Boy",11
2682,"Boy",11
1360,"Girl",11
5479,"Girl",15
6413,"Boy",15
6188,"Boy",15
3481,"Boy",13
4572,"Boy",13
6889,"Boy",15
3104,"Boy",13
5619,"Girl",15
2307,"Boy",11
5895,"Girl",15
2581,"Boy",11
3190,"Girl",13
463,"Girl",11
5373,"Girl",15
7147,"Girl",15
3859,"Boy",13
127,"Boy",11
7670,"Boy",15
2636,"Boy",11
